inputs=80 keys=160 outputs=1 gates=320
iteration: 1; vars: 2320; clauses: 1699; decisions: 338
iteration: 2; vars: 2958; clauses: 3279; decisions: 743
iteration: 3; vars: 3596; clauses: 1695; decisions: 1081
iteration: 4; vars: 4234; clauses: 3275; decisions: 1332
iteration: 5; vars: 4872; clauses: 1747; decisions: 1628
iteration: 6; vars: 5510; clauses: 3327; decisions: 1932
iteration: 7; vars: 6148; clauses: 1729; decisions: 2280
iteration: 8; vars: 6786; clauses: 3309; decisions: 2617
iteration: 9; vars: 7424; clauses: 1785; decisions: 2952
iteration: 10; vars: 8062; clauses: 3365; decisions: 3281
iteration: 11; vars: 8700; clauses: 1858; decisions: 3646
iteration: 12; vars: 9338; clauses: 3438; decisions: 3968
iteration: 13; vars: 9976; clauses: 1840; decisions: 4307
iteration: 14; vars: 10614; clauses: 3420; decisions: 4630
iteration: 15; vars: 11252; clauses: 1851; decisions: 4969
iteration: 16; vars: 11890; clauses: 3431; decisions: 5292
iteration: 17; vars: 12528; clauses: 1919; decisions: 5632
iteration: 18; vars: 13166; clauses: 3499; decisions: 5955
iteration: 19; vars: 13804; clauses: 2019; decisions: 6287
iteration: 20; vars: 14442; clauses: 3599; decisions: 6604
iteration: 21; vars: 15080; clauses: 1997; decisions: 6936
iteration: 22; vars: 15718; clauses: 3577; decisions: 7253
iteration: 23; vars: 16356; clauses: 2054; decisions: 7583
iteration: 24; vars: 16994; clauses: 3634; decisions: 7899
iteration: 25; vars: 17632; clauses: 2168; decisions: 8229
iteration: 26; vars: 18270; clauses: 3748; decisions: 8545
iteration: 27; vars: 18908; clauses: 2230; decisions: 8876
iteration: 28; vars: 19546; clauses: 3810; decisions: 9192
iteration: 29; vars: 20184; clauses: 2295; decisions: 9524
iteration: 30; vars: 20822; clauses: 3875; decisions: 9842
iteration: 31; vars: 21460; clauses: 2409; decisions: 10171
iteration: 32; vars: 22098; clauses: 3989; decisions: 10486
iteration: 33; vars: 22736; clauses: 2483; decisions: 10817
iteration: 34; vars: 23374; clauses: 4063; decisions: 11134
iteration: 35; vars: 24012; clauses: 2608; decisions: 11483
iteration: 36; vars: 24650; clauses: 4188; decisions: 11801
iteration: 37; vars: 25288; clauses: 2591; decisions: 12129
iteration: 38; vars: 25926; clauses: 4171; decisions: 12651
iteration: 39; vars: 26564; clauses: 2665; decisions: 12982
iteration: 40; vars: 27202; clauses: 4245; decisions: 13302
iteration: 41; vars: 27840; clauses: 2807; decisions: 13630
iteration: 42; vars: 28478; clauses: 4387; decisions: 13951
iteration: 43; vars: 29116; clauses: 2784; decisions: 14295
iteration: 44; vars: 29754; clauses: 4364; decisions: 14611
iteration: 45; vars: 30392; clauses: 2211; decisions: 14947
iteration: 46; vars: 31030; clauses: 3793; decisions: 15309
iteration: 47; vars: 31668; clauses: 1583; decisions: 15690
iteration: 48; vars: 32306; clauses: 1645; decisions: 16026
iteration: 49; vars: 32944; clauses: 1711; decisions: 16361
iteration: 50; vars: 33582; clauses: 1711; decisions: 16694
iteration: 51; vars: 34220; clauses: 1775; decisions: 17026
iteration: 52; vars: 34858; clauses: 1775; decisions: 17364
iteration: 53; vars: 35496; clauses: 1777; decisions: 17700
iteration: 54; vars: 36134; clauses: 1843; decisions: 18036
iteration: 55; vars: 36772; clauses: 1841; decisions: 18371
iteration: 56; vars: 37410; clauses: 1713; decisions: 18707
iteration: 57; vars: 38048; clauses: 1779; decisions: 19045
iteration: 58; vars: 38686; clauses: 1781; decisions: 19396
iteration: 59; vars: 39324; clauses: 1845; decisions: 19729
iteration: 60; vars: 39962; clauses: 1845; decisions: 20062
iteration: 61; vars: 40600; clauses: 1911; decisions: 20394
iteration: 62; vars: 41238; clauses: 1907; decisions: 20724
iteration: 63; vars: 41876; clauses: 1909; decisions: 21053
iteration: 64; vars: 42514; clauses: 1909; decisions: 21382
iteration: 65; vars: 43152; clauses: 1909; decisions: 21710
iteration: 66; vars: 43790; clauses: 1909; decisions: 22039
iteration: 67; vars: 44428; clauses: 1909; decisions: 22366
iteration: 68; vars: 45066; clauses: 1911; decisions: 22693
iteration: 69; vars: 45704; clauses: 1911; decisions: 23019
iteration: 70; vars: 46342; clauses: 1911; decisions: 23351
iteration: 71; vars: 46980; clauses: 1975; decisions: 23680
iteration: 72; vars: 47618; clauses: 1975; decisions: 24009
iteration: 73; vars: 48256; clauses: 2039; decisions: 24337
iteration: 74; vars: 48894; clauses: 2043; decisions: 24666
iteration: 75; vars: 49532; clauses: 1983; decisions: 24994
iteration: 76; vars: 50170; clauses: 1983; decisions: 25322
iteration: 77; vars: 50808; clauses: 1983; decisions: 25649
iteration: 78; vars: 51446; clauses: 2043; decisions: 25974
iteration: 79; vars: 52084; clauses: 2039; decisions: 26301
iteration: 80; vars: 52722; clauses: 2103; decisions: 26627
iteration: 81; vars: 53360; clauses: 2103; decisions: 26955
iteration: 82; vars: 53998; clauses: 2167; decisions: 27281
iteration: 83; vars: 54636; clauses: 2188; decisions: 27605
iteration: 84; vars: 55274; clauses: 3744; decisions: 27909
iteration: 85; vars: 55912; clauses: 1528; decisions: 28265
iteration: 86; vars: 56550; clauses: 3042; decisions: 28562
iteration: 87; vars: 57188; clauses: 1528; decisions: 28937
iteration: 88; vars: 57826; clauses: 3042; decisions: 29211
iteration: 89; vars: 58464; clauses: 1674; decisions: 29525
iteration: 90; vars: 59102; clauses: 3188; decisions: 29850
iteration: 91; vars: 59740; clauses: 1500; decisions: 30167
iteration: 92; vars: 60378; clauses: 1481; decisions: 30467
iteration: 93; vars: 61016; clauses: 1499; decisions: 30788
iteration: 94; vars: 61654; clauses: 1559; decisions: 31108
iteration: 95; vars: 62292; clauses: 3061; decisions: 31367
iteration: 96; vars: 62930; clauses: 1462; decisions: 31641
iteration: 97; vars: 63568; clauses: 2946; decisions: 31917
iteration: 98; vars: 64206; clauses: 1492; decisions: 32229
iteration: 99; vars: 64844; clauses: 2976; decisions: 32532
iteration: 100; vars: 65482; clauses: 1564; decisions: 32827
iteration: 101; vars: 66120; clauses: 3036; decisions: 33119
iteration: 102; vars: 66758; clauses: 1576; decisions: 33396
iteration: 103; vars: 67396; clauses: 3048; decisions: 33647
iteration: 104; vars: 68034; clauses: 1592; decisions: 33909
iteration: 105; vars: 68672; clauses: 3064; decisions: 34173
iteration: 106; vars: 69310; clauses: 1620; decisions: 34470
iteration: 107; vars: 69948; clauses: 3092; decisions: 34763
