inputs=32 keys=64 outputs=1 gates=128
iteration: 1; vars: 928; clauses: 824; decisions: 156
iteration: 2; vars: 1182; clauses: 1458; decisions: 387
iteration: 3; vars: 1436; clauses: 704; decisions: 590
iteration: 4; vars: 1690; clauses: 1330; decisions: 804
iteration: 5; vars: 1944; clauses: 284; decisions: 947
iteration: 6; vars: 2198; clauses: 276; decisions: 1081
iteration: 7; vars: 2452; clauses: 276; decisions: 1216
iteration: 8; vars: 2706; clauses: 294; decisions: 1349
iteration: 9; vars: 2960; clauses: 294; decisions: 1482
iteration: 10; vars: 3214; clauses: 312; decisions: 1615
iteration: 11; vars: 3468; clauses: 330; decisions: 1747
iteration: 12; vars: 3722; clauses: 326; decisions: 1879
iteration: 13; vars: 3976; clauses: 316; decisions: 2012
iteration: 14; vars: 4230; clauses: 312; decisions: 2145
iteration: 15; vars: 4484; clauses: 330; decisions: 2278
iteration: 16; vars: 4738; clauses: 348; decisions: 2410
iteration: 17; vars: 4992; clauses: 348; decisions: 2542
iteration: 18; vars: 5246; clauses: 353; decisions: 2674
iteration: 19; vars: 5500; clauses: 343; decisions: 2805
iteration: 20; vars: 5754; clauses: 345; decisions: 2935
iteration: 21; vars: 6008; clauses: 254; decisions: 3063
iteration: 22; vars: 6262; clauses: 259; decisions: 3188
iteration: 23; vars: 6516; clauses: 255; decisions: 3311
iteration: 24; vars: 6770; clauses: 220; decisions: 3433
iteration: 25; vars: 7024; clauses: 245; decisions: 3552
iteration: 26; vars: 7278; clauses: 212; decisions: 3670
iteration: 27; vars: 7532; clauses: 226; decisions: 3789
iteration: 28; vars: 7786; clauses: 225; decisions: 3907
iteration: 29; vars: 8040; clauses: 239; decisions: 4023
iteration: 30; vars: 8294; clauses: 218; decisions: 4135
iteration: 31; vars: 8548; clauses: 200; decisions: 4269
iteration: 32; vars: 8802; clauses: 200; decisions: 4377
iteration: 33; vars: 9056; clauses: 212; decisions: 4484
iteration: 34; vars: 9310; clauses: 214; decisions: 4591
iteration: 35; vars: 9564; clauses: 224; decisions: 4698
iteration: 36; vars: 9818; clauses: 236; decisions: 4805
iteration: 37; vars: 10072; clauses: 178; decisions: 4904
iteration: 38; vars: 10326; clauses: 156; decisions: 5002
iteration: 39; vars: 10580; clauses: 166; decisions: 5100
iteration: 40; vars: 10834; clauses: 156; decisions: 5196
iteration: 41; vars: 11088; clauses: 148; decisions: 5286
iteration: 42; vars: 11342; clauses: 126; decisions: 5370
iteration: 43; vars: 11596; clauses: 107; decisions: 5451
iteration: 44; vars: 11850; clauses: 107; decisions: 5526
iteration: 45; vars: 12104; clauses: 111; decisions: 5600
iteration: 46; vars: 12358; clauses: 107; decisions: 5674
iteration: 47; vars: 12612; clauses: 80; decisions: 5740
iteration: 48; vars: 12866; clauses: 74; decisions: 5805
iteration: 49; vars: 13120; clauses: 70; decisions: 5807
finished solver loop. fail_count = 0
key=0000000000000000000000000000000101100100011101010110101011110110
iteration=49; backbones_count=0; cube_count=31730; cpu_time=0.244962; maxrss=2.88281
